id,lat,lon,user,uid,version,changeset,timestamp
674703741,18.5026814,73.9185655,nirvanareborn,217627,1,4235912,2010-03-26T10:23:02Z
674704623,18.4962029,73.9146272,singleton,1157969,2,24146197,2014-07-14T18:34:05Z
674709458,18.4790273,73.9079691,nirvanareborn,217627,1,4236361,2010-03-26T10:39:40Z
674710664,18.4774704,73.9087738,nirvanareborn,217627,1,4236361,2010-03-26T10:42:58Z
674712796,18.4770284,73.8958538,singleton,1157969,2,19971460,2014-01-13T13:15:31Z
674712835,18.4632054,73.9083434,singleton,1157969,3,19971460,2014-01-13T13:15:31Z
674720570,18.4884993,73.945659,Rahul Maindargi,568021,2,12828719,2012-08-23T06:21:17Z
674724323,18.4695128,73.9329673,nirvanareborn,217627,1,4236361,2010-03-26T11:01:28Z
674725440,18.4531441,73.9327039,singleton,1157969,2,18967101,2013-11-18T08:41:10Z
674726652,18.4700494,73.9215031,singleton,1157969,3,20283859,2014-01-30T13:51:56Z
674731875,18.4531258,73.8842072,singleton,1157969,3,20193252,2014-01-25T13:20:46Z
674920183,18.5235223,73.8801005,chaitanya110,3101111,4,33286647,2015-08-12T09:22:22Z
674926429,18.5104063,73.9001508,singleton,1157969,3,15382910,2013-03-16T11:45:58Z
674927110,18.5190095,73.8996421,nirvanareborn,217627,2,5388826,2010-08-03T11:11:15Z
674927284,18.5290299,73.9016591,nirvanareborn,217627,1,4239597,2010-03-26T17:13:11Z
674927951,18.5389582,73.903365,nirvanareborn,217627,1,4239597,2010-03-26T17:14:32Z
675628669,18.5230742,73.8896575,nirvanareborn,217627,2,4244919,2010-03-27T10:25:23Z
675647451,18.5372759,73.8838717,nirvanareborn,217627,2,7867790,2011-04-15T09:17:13Z
675649211,18.512922,73.8756679,singleton,1157969,3,20843813,2014-03-01T12:07:54Z
676043299,18.5925473,73.92112,singleton,1157969,2,20526832,2014-02-12T17:48:38Z
678340950,18.500318,73.8897123,singleton,1157969,2,20844752,2014-03-01T13:11:02Z
678440301,18.5136896,73.8524125,singleton,1157969,3,15720370,2013-04-14T05:47:34Z
678441193,18.5044046,73.8472503,singleton,1157969,2,15108860,2013-02-21T08:12:55Z
678443362,18.5159621,73.8500133,singleton,1157969,3,15720370,2013-04-14T05:47:35Z
678444709,18.5151337,73.8470927,maheshrkm,2897465,3,33064526,2015-08-03T09:31:51Z
678446134,18.5084188,73.8573553,singleton,1157969,5,15861127,2013-04-25T13:46:33Z
678447786,18.5089448,73.8554088,singleton,1157969,2,15721498,2013-04-14T08:17:11Z
678449037,18.5098872,73.8611067,singleton,1157969,3,24576373,2014-08-06T13:58:57Z
678449552,18.5001801,73.8618085,singleton,1157969,4,15443413,2013-03-21T14:01:01Z
678451080,18.5197407,73.8520848,singleton,1157969,2,15720370,2013-04-14T05:47:36Z
678662248,18.728952,73.617212,MJL Wood,99655,2,7296808,2011-02-15T17:16:51Z
678662552,18.4192161,73.8191364,katpatuka,17497,2,4555523,2010-04-29T06:49:48Z
678663378,18.6097724,73.6101839,lmum,1084189,2,34498407,2015-10-07T19:51:36Z
678664138,18.5743441,73.6112608,PlaneMad,1306,1,4278325,2010-03-30T16:52:23Z
678697467,18.5017066,73.8650929,singleton,1157969,2,15443413,2013-03-21T14:01:01Z
